resource_type,grade_level,poverty_level,school_state,date_posted,total_donations
Supplies,Grades 3-5,highest poverty,PA,2012-05-02,25.0
Other,Grades 6-8,highest poverty,IL,2006-08-10,153.47
Technology,Grades PreK-2,highest poverty,CA,2012-04-14,25.0
Supplies,Grades 9-12,high poverty,MI,2012-07-13,3.0
Supplies,Grades 6-8,highest poverty,GA,2010-07-07,43.0
Technology,Grades 3-5,moderate poverty,WV,2012-06-23,25.0
Supplies,Grades PreK-2,moderate poverty,MD,2013-02-11,5.0
Technology,Grades 6-8,highest poverty,GA,2009-12-06,25.0
Books,Grades 6-8,highest poverty,CA,2010-10-31,15.0
Supplies,Grades PreK-2,moderate poverty,CA,2012-02-16,10.0
Supplies,Grades 3-5,highest poverty,IL,2007-10-23,88.24
Supplies,Grades 3-5,highest poverty,CA,2010-05-01,5.0
Books,Grades 3-5,moderate poverty,NH,2010-04-12,56.0
Supplies,Grades 9-12,highest poverty,IL,2009-12-17,25.0
Supplies,Grades 3-5,highest poverty,FL,2011-01-22,15.0
Supplies,Grades 3-5,highest poverty,OH,2013-03-06,25.0
Technology,Grades 9-12,highest poverty,HI,2009-06-23,25.0
Technology,Grades 9-12,high poverty,CT,2008-09-03,1.0
Supplies,Grades 9-12,highest poverty,TN,2012-08-27,50.0
Books,Grades PreK-2,high poverty,CA,2010-11-21,15.0
Technology,Grades 3-5,high poverty,CA,2012-01-01,213.14
Books,Grades 3-5,highest poverty,TX,2013-08-28,65.0
Other,Grades PreK-2,high poverty,LA,2013-09-14,10.0
Supplies,Grades 9-12,highest poverty,GA,2013-10-13,25.0
Technology,Grades 9-12,high poverty,FL,2013-10-12,5.0
Technology,Grades PreK-2,highest poverty,MI,2012-11-04,20.0
Books,Grades PreK-2,moderate poverty,NJ,2013-08-21,20.0
Supplies,Grades 9-12,highest poverty,GA,2013-01-12,25.0
Books,Grades PreK-2,high poverty,TN,2010-08-31,5.0
Supplies,Grades 3-5,highest poverty,ID,2012-09-17,25.0
Technology,Grades 3-5,moderate poverty,CA,2012-05-31,50.0
Supplies,Grades PreK-2,highest poverty,NJ,2009-02-28,10.0
Technology,Grades PreK-2,highest poverty,KY,2013-01-21,1.0
Supplies,Grades 9-12,highest poverty,CA,2011-04-02,25.0
Technology,Grades PreK-2,high poverty,NC,2008-01-14,82.0
Supplies,Grades 6-8,moderate poverty,CA,2013-02-07,25.0
Other,Grades PreK-2,highest poverty,FL,2010-08-07,1.0
Supplies,Grades PreK-2,low poverty,MO,2011-07-03,3.25
Books,Grades PreK-2,highest poverty,OK,2007-11-21,100.0
Books,Grades 6-8,high poverty,NC,2011-10-12,5.0
Technology,Grades 3-5,high poverty,NY,2013-03-06,1.0
Books,Grades 6-8,highest poverty,CA,2013-08-13,25.0
Technology,Grades 9-12,high poverty,CO,2013-04-06,20.0
Supplies,Grades 3-5,highest poverty,NY,2007-09-07,288.83
Technology,Grades 6-8,high poverty,AZ,2013-11-20,5.0
Supplies,Grades 3-5,highest poverty,NY,2011-02-13,10.0
Books,Grades PreK-2,moderate poverty,IN,2012-02-20,25.0
Other,Grades PreK-2,highest poverty,AL,2011-04-17,375.39
Supplies,Grades PreK-2,high poverty,NC,2006-10-07,409.98
Supplies,Grades 9-12,high poverty,NC,2013-03-13,25.0
Technology,Grades 3-5,moderate poverty,CA,2011-11-21,15.0
Books,Grades PreK-2,highest poverty,NY,2012-01-02,25.0
Books,Grades PreK-2,high poverty,CT,2013-01-19,1.0
Supplies,Grades PreK-2,highest poverty,AZ,2008-11-24,50.0
Books,Grades 3-5,high poverty,SC,2013-01-12,314.33
Visitors,Grades 3-5,high poverty,DC,2007-12-26,21.0
Supplies,Grades 9-12,highest poverty,CA,2013-02-09,20.0
Technology,Grades 3-5,high poverty,MI,2011-02-20,168.74
Technology,Grades 9-12,highest poverty,PA,2009-08-21,25.0
Other,Grades 3-5,high poverty,IN,2012-09-05,1.0
Books,Grades PreK-2,highest poverty,WA,2012-02-08,20.0
Books,Grades PreK-2,highest poverty,NC,2004-11-04,344.83
Supplies,Grades 6-8,moderate poverty,OH,2008-11-08,28.91
Supplies,Grades PreK-2,highest poverty,SC,2011-12-08,50.0
Books,Grades 9-12,highest poverty,CA,2009-03-24,25.0
Books,Grades PreK-2,high poverty,NY,2012-06-23,50.0
Books,Grades 3-5,highest poverty,IL,2007-04-04,354.12
Trips,Grades 9-12,high poverty,CA,2013-03-04,50.0
Other,Grades 3-5,high poverty,PA,2011-08-12,25.0
Technology,Grades 3-5,highest poverty,IL,2012-03-10,50.0
Supplies,Grades PreK-2,high poverty,WI,2011-11-05,5.0
Supplies,Grades 9-12,highest poverty,TX,2013-09-27,27.81
Technology,Grades PreK-2,highest poverty,MA,2010-12-09,15.0
Supplies,Grades 3-5,moderate poverty,MN,2012-03-04,50.0
Books,Grades 6-8,highest poverty,MD,2010-08-30,30.0
Supplies,Grades 9-12,highest poverty,LA,2009-05-28,2.0
Supplies,Grades PreK-2,highest poverty,MO,2011-08-09,7.48
Books,Grades PreK-2,highest poverty,TX,2011-06-24,172.43
Technology,Grades PreK-2,high poverty,OK,2011-08-21,50.0
Technology,Grades PreK-2,highest poverty,NY,2013-06-10,1.0
Technology,Grades 9-12,highest poverty,CA,2013-09-27,125.0
Supplies,Grades 3-5,highest poverty,CA,2013-02-24,10.0
Technology,Grades PreK-2,high poverty,NC,2012-09-18,15.0
Supplies,Grades 3-5,moderate poverty,WA,2011-12-21,25.0
Technology,Grades 9-12,highest poverty,MD,2013-02-26,25.0
Other,Grades PreK-2,highest poverty,CA,2013-07-10,25.0
Supplies,Grades 6-8,low poverty,AZ,2012-10-06,10.0
Technology,Grades PreK-2,highest poverty,FL,2011-04-01,10.0
Supplies,Grades PreK-2,highest poverty,MI,2012-02-19,25.0
Books,Grades 3-5,moderate poverty,CA,2012-01-21,50.0
Technology,Grades 6-8,moderate poverty,OR,2013-10-09,221.13
Other,Grades 3-5,highest poverty,CA,2011-12-10,15.0
Technology,Grades 9-12,highest poverty,MI,2013-10-26,5.0
Supplies,Grades 3-5,high poverty,LA,2013-11-24,25.0
Supplies,Grades 6-8,high poverty,CA,2011-12-10,5.0
Technology,Grades PreK-2,moderate poverty,CA,2009-11-08,35.0
Technology,Grades 3-5,highest poverty,TX,2013-08-28,1.0
Supplies,Grades 3-5,highest poverty,CA,2012-12-11,102.16
Books,Grades 6-8,highest poverty,TX,2010-09-22,50.0
Other,Grades PreK-2,highest poverty,CA,2013-07-30,1.0
Technology,Grades 3-5,low poverty,CA,2012-09-26,25.0
Books,Grades 3-5,moderate poverty,CA,2012-01-17,15.0
Technology,Grades 3-5,low poverty,CA,2012-10-22,10.0
Supplies,Grades PreK-2,highest poverty,IL,2012-12-04,50.0
Technology,Grades 3-5,high poverty,SC,2012-09-23,50.0
Technology,Grades 3-5,high poverty,CA,2011-12-26,15.0
Supplies,Grades PreK-2,highest poverty,LA,2011-12-24,50.0
Technology,Grades 3-5,high poverty,CA,2012-09-04,1429.13
Technology,Grades 9-12,low poverty,CA,2010-10-11,5.0
Books,Grades 3-5,highest poverty,TX,2009-07-31,25.0
Technology,Grades PreK-2,high poverty,CA,2011-11-28,10.0
Supplies,Grades 6-8,highest poverty,NY,2011-09-29,100.0
Technology,Grades PreK-2,highest poverty,OK,2011-08-29,10.0
Other,Grades 3-5,moderate poverty,CA,2012-01-19,10.0
Books,Grades 6-8,high poverty,IA,2011-01-29,25.0
Supplies,Grades 3-5,high poverty,OH,2011-11-10,3.0
Other,Grades PreK-2,highest poverty,IL,2011-09-12,25.0
Technology,Grades PreK-2,highest poverty,FL,2009-10-01,50.0
Trips,Grades 6-8,highest poverty,IL,2009-12-16,25.0
Technology,Grades 9-12,highest poverty,NY,2005-03-01,271.11
Technology,Grades 3-5,highest poverty,TX,2010-10-09,50.0
Books,Grades PreK-2,highest poverty,NC,2011-07-25,25.0
Supplies,Grades PreK-2,highest poverty,LA,2013-09-28,25.0
Technology,Grades PreK-2,moderate poverty,LA,2013-09-02,10.0
Technology,Grades PreK-2,highest poverty,NY,2013-11-16,66.0
Supplies,Grades PreK-2,moderate poverty,WA,2013-06-25,20.0
Supplies,Grades 3-5,highest poverty,CA,2012-08-18,129.0
Technology,Grades PreK-2,highest poverty,NC,2010-08-22,15.0
Technology,Grades 9-12,high poverty,MI,2012-12-13,100.0
Books,Grades 3-5,highest poverty,NC,2010-12-12,25.0
Technology,Grades PreK-2,high poverty,CT,2012-09-20,10.0
Technology,Grades 3-5,moderate poverty,CA,2012-12-04,1.0
Books,Grades 3-5,highest poverty,CA,2010-10-02,30.0
Technology,Grades 9-12,high poverty,HI,2007-10-26,156.05
Books,Grades 9-12,high poverty,MA,2012-08-18,20.0
Supplies,Grades 3-5,high poverty,CA,2011-12-06,10.0
Supplies,Grades PreK-2,high poverty,SD,2013-08-30,50.0
Supplies,Grades PreK-2,highest poverty,NC,2013-09-20,20.0
Technology,Grades 6-8,highest poverty,MA,2013-01-20,50.0
Technology,Grades PreK-2,low poverty,CO,2011-11-14,115.55
Supplies,Grades 3-5,moderate poverty,PA,2011-03-20,8.15
Supplies,Grades 9-12,highest poverty,NY,2005-11-30,80.0
Technology,Grades 3-5,highest poverty,CA,2012-01-20,15.0
Books,Grades 9-12,highest poverty,IL,2013-08-10,18.0
Supplies,Grades 9-12,highest poverty,NY,2010-08-20,25.0
Supplies,Grades 9-12,moderate poverty,WA,2011-10-09,80.0
Technology,Grades 9-12,high poverty,NC,2012-11-06,1.0
Supplies,Grades 9-12,high poverty,WA,2013-08-29,25.0
Books,Grades 3-5,high poverty,WA,2012-03-30,5.0
Other,Grades PreK-2,moderate poverty,IN,2010-12-09,15.0
Supplies,Grades 3-5,highest poverty,UT,2010-08-24,15.0
Technology,Grades PreK-2,moderate poverty,IL,2008-04-12,25.0
Technology,Grades 3-5,high poverty,CA,2012-01-30,100.0
Books,Grades 9-12,highest poverty,NY,2011-01-02,5.0
Technology,Grades 3-5,highest poverty,NY,2009-07-20,63.29
Supplies,Grades PreK-2,highest poverty,TN,2013-12-21,1.0
Supplies,Grades 3-5,high poverty,SC,2012-03-28,13.38
Supplies,Grades 3-5,highest poverty,NY,2004-09-12,208.0
Supplies,Grades PreK-2,highest poverty,CA,2012-10-16,43.67
Supplies,Grades PreK-2,highest poverty,GA,2013-07-15,50.0
Technology,Grades 9-12,moderate poverty,NH,2012-07-03,25.0
Supplies,Grades PreK-2,highest poverty,TX,2012-05-28,423.35
Technology,Grades PreK-2,moderate poverty,CA,2012-01-20,10.0
Trips,Grades PreK-2,highest poverty,NY,2004-04-14,267.0
Other,Grades 9-12,highest poverty,VA,2010-09-28,15.0
Supplies,Grades PreK-2,highest poverty,TX,2012-11-03,50.0
Supplies,Grades 3-5,high poverty,VA,2010-10-01,5.0
Books,Grades 3-5,moderate poverty,NC,2012-09-30,25.0
Technology,Grades 9-12,highest poverty,NY,2009-11-25,25.0
Books,Grades PreK-2,highest poverty,MA,2011-10-06,50.0
Supplies,Grades 3-5,high poverty,TN,2011-03-14,15.0
Technology,Grades PreK-2,highest poverty,TN,2011-07-26,100.0
Books,Grades 9-12,moderate poverty,PA,2009-11-05,25.0
Books,Grades 3-5,moderate poverty,SC,2011-03-10,15.0
Books,Grades 3-5,highest poverty,NY,2006-05-19,96.6
Supplies,Grades PreK-2,high poverty,NC,2009-01-25,15.0
Supplies,Grades PreK-2,highest poverty,CA,2011-10-26,25.0
Books,Grades 9-12,highest poverty,NC,2012-01-22,5.0
Other,Grades 9-12,low poverty,CA,2013-01-15,200.0
Other,Grades PreK-2,high poverty,NY,2012-10-21,1.0
Technology,Grades 3-5,moderate poverty,WA,2013-07-27,10.0
Technology,Grades 6-8,highest poverty,IL,2012-01-30,10.0
Trips,Grades 6-8,highest poverty,CA,2012-12-05,100.0
Supplies,Grades 3-5,moderate poverty,LA,2010-02-01,30.0
Supplies,Grades PreK-2,highest poverty,FL,2011-04-10,25.0
Technology,Grades PreK-2,high poverty,OH,2012-10-05,5.0
Technology,Grades 9-12,highest poverty,NY,2011-01-30,264.54
Technology,Grades 3-5,moderate poverty,UT,2007-10-09,100.0
Supplies,Grades 9-12,highest poverty,IL,2010-08-21,25.0
Supplies,Grades 6-8,highest poverty,AZ,2011-05-04,1.0
Supplies,Grades 3-5,highest poverty,VA,2008-09-29,10.0
Technology,Grades 3-5,highest poverty,CA,2012-01-30,10.0
Books,Grades 6-8,highest poverty,NC,2012-08-30,25.0
Technology,Grades PreK-2,high poverty,WI,2011-04-03,25.0
Technology,Grades PreK-2,moderate poverty,CA,2013-09-22,75.0
Supplies,Grades PreK-2,highest poverty,FL,2011-08-04,25.0
Supplies,Grades PreK-2,highest poverty,NV,2013-02-05,3.64
Books,Grades 6-8,highest poverty,MA,2011-09-11,5.0
Technology,Grades 3-5,high poverty,TN,2011-09-22,10.0
Books,Grades 3-5,highest poverty,WA,2013-09-23,10.0
Supplies,Grades 9-12,highest poverty,MO,2012-03-17,10.0
Other,Grades PreK-2,high poverty,MN,2013-07-29,50.0
Books,Grades PreK-2,high poverty,KY,2011-02-02,49.95
Supplies,Grades PreK-2,highest poverty,CA,2013-06-11,180.32
Supplies,Grades 9-12,moderate poverty,CA,2013-06-27,1.0
Other,Grades 6-8,highest poverty,CA,2008-10-05,50.0
Other,Grades 3-5,high poverty,CA,2005-12-30,456.34
Technology,Grades 9-12,highest poverty,IL,2010-10-12,15.0
Technology,Grades 3-5,highest poverty,NJ,2011-11-28,10.0
Books,Grades 6-8,highest poverty,CA,2012-09-08,50.0
Supplies,Grades PreK-2,high poverty,ME,2013-05-28,12.0
Technology,Grades 6-8,highest poverty,CA,2012-09-09,15.0
Supplies,Grades 3-5,highest poverty,GA,2012-01-19,25.0
Other,Grades PreK-2,high poverty,DC,2011-12-22,25.0
Technology,Grades 9-12,high poverty,WY,2013-08-25,1.0
Supplies,Grades PreK-2,highest poverty,NY,2013-07-14,1.0
Books,Grades 3-5,moderate poverty,NC,2011-08-28,25.0
Technology,Grades 9-12,highest poverty,CA,2010-09-26,15.0
Technology,Grades 3-5,highest poverty,OK,2011-12-08,5.0
Supplies,Grades 3-5,moderate poverty,KS,2013-06-09,5.0
Technology,Grades PreK-2,highest poverty,FL,2011-01-04,15.0
Other,Grades 3-5,highest poverty,IL,2012-12-09,25.0
Supplies,Grades 9-12,highest poverty,CT,2009-04-08,100.0
Supplies,Grades 9-12,high poverty,AZ,2010-12-04,15.0
Books,Grades PreK-2,high poverty,NY,2009-11-15,30.0
Technology,Grades 9-12,high poverty,CA,2011-05-22,30.0
Other,Grades 3-5,highest poverty,PA,2012-03-25,160.0
Technology,Grades 6-8,highest poverty,DC,2011-08-06,50.0
Technology,Grades PreK-2,high poverty,NC,2013-06-22,5.0
Other,Grades 3-5,moderate poverty,NJ,2009-10-20,10.0
Supplies,Grades 3-5,high poverty,TX,2011-10-23,30.0
Books,Grades 9-12,highest poverty,PA,2011-03-11,10.0
Technology,Grades 3-5,highest poverty,NY,2011-01-27,15.0
Supplies,Grades PreK-2,highest poverty,TX,2007-12-04,200.0
Other,Grades 3-5,moderate poverty,MD,2010-12-07,15.0
Books,Grades 3-5,high poverty,VA,2010-09-28,25.0
Supplies,Grades 3-5,low poverty,DC,2011-04-24,20.0
Technology,Grades PreK-2,high poverty,AL,2013-09-16,50.0
Supplies,Grades PreK-2,highest poverty,CA,2007-02-20,207.06
Technology,Grades PreK-2,low poverty,CA,2011-12-13,30.0
Technology,Grades PreK-2,highest poverty,FL,2011-01-23,246.54
Technology,Grades 3-5,moderate poverty,NJ,2012-10-15,25.0
Books,Grades PreK-2,highest poverty,IL,2013-06-29,25.0
Technology,Grades 3-5,high poverty,SC,2008-12-21,50.0
Books,Grades 3-5,highest poverty,CA,2013-09-03,6.27
Books,Grades 9-12,highest poverty,DC,2011-11-18,5.0
Technology,Grades 6-8,high poverty,CA,2012-01-28,10.0
Technology,Grades 3-5,moderate poverty,UT,2008-12-29,25.0
Supplies,Grades 9-12,highest poverty,CA,2008-11-20,10.0
Technology,Grades PreK-2,high poverty,CA,2012-09-26,33.0
Books,Grades PreK-2,highest poverty,LA,2012-08-01,20.0
Books,Grades 9-12,high poverty,NC,2011-05-26,5.0
Supplies,Grades 3-5,high poverty,FL,2011-01-18,10.0
Supplies,Grades PreK-2,high poverty,PA,2013-08-17,40.84
Books,Grades 3-5,highest poverty,NY,2010-08-27,20.0
Supplies,Grades 3-5,highest poverty,CA,2013-01-07,100.0
Books,Grades 3-5,high poverty,GA,2010-12-17,3.0
Technology,Grades PreK-2,high poverty,IN,2008-09-02,100.0
Supplies,Grades PreK-2,highest poverty,NY,2012-08-24,25.0
Books,Grades 3-5,high poverty,CA,2012-01-13,15.0
Books,Grades 3-5,highest poverty,FL,2010-07-20,25.0
Technology,Grades 6-8,moderate poverty,CA,2013-05-16,1.0
Books,Grades PreK-2,highest poverty,FL,2011-10-25,75.0
Technology,Grades 3-5,highest poverty,IN,2010-10-14,15.0
Technology,Grades 9-12,highest poverty,IL,2009-03-15,25.0
Technology,Grades 3-5,high poverty,CA,2010-09-26,25.0
Books,Grades 9-12,high poverty,AZ,2011-05-29,10.0
Other,Grades PreK-2,highest poverty,PA,2011-08-03,70.0
Books,Grades 9-12,highest poverty,IL,2007-10-22,50.0
Technology,Grades 3-5,low poverty,CA,2013-10-06,100.0
Technology,Grades 3-5,high poverty,TN,2011-03-27,10.0
Supplies,Grades 3-5,highest poverty,GA,2012-02-24,100.0
Books,Grades 3-5,highest poverty,CA,2012-06-30,50.0
Technology,Grades 3-5,highest poverty,TX,2011-02-23,6.0
Technology,Grades 3-5,highest poverty,MI,2009-10-11,5.0
Books,Grades 6-8,high poverty,MO,2010-11-10,98.0
Books,Grades PreK-2,highest poverty,FL,2013-02-24,50.0
Supplies,Grades 3-5,high poverty,NC,2012-01-19,146.68
Supplies,Grades 6-8,highest poverty,PA,2010-02-07,25.0
Books,Grades 3-5,highest poverty,CA,2013-02-28,20.0
Technology,Grades PreK-2,highest poverty,TN,2011-03-03,3.0
Technology,Grades 3-5,high poverty,CA,2012-09-22,9.0
Technology,Grades 9-12,highest poverty,CA,2012-01-24,15.0
Books,Grades PreK-2,highest poverty,IL,2013-04-09,1.0
Books,Grades PreK-2,highest poverty,VA,2010-08-06,10.0
Books,Grades 3-5,high poverty,CT,2011-12-08,10.0
Books,Grades 6-8,highest poverty,IL,2008-11-06,50.0
Technology,Grades 3-5,high poverty,CA,2012-01-30,10.0
Supplies,Grades 9-12,moderate poverty,IA,2009-09-11,75.0
Books,Grades 6-8,highest poverty,CA,2010-07-29,10.0
Technology,Grades 6-8,low poverty,FL,2013-08-31,10.0
Technology,Grades PreK-2,highest poverty,NY,2007-10-04,20.0
Supplies,Grades 3-5,highest poverty,NY,2010-11-14,5.0
Supplies,Grades 3-5,highest poverty,LA,2010-08-10,100.0
Supplies,Grades 3-5,highest poverty,NV,2010-10-26,50.0
Supplies,Grades PreK-2,highest poverty,IL,2010-04-29,10.0
Technology,Grades 3-5,highest poverty,CA,2012-01-28,25.0
Books,Grades 6-8,highest poverty,NY,2008-04-11,10.0
Books,Grades 3-5,highest poverty,NC,2006-08-07,30.0
Other,Grades PreK-2,highest poverty,SC,2010-03-22,5.0
Books,Grades 3-5,highest poverty,NY,2011-10-06,20.0
Technology,Grades 9-12,highest poverty,MO,2010-10-25,15.0
Supplies,Grades 3-5,highest poverty,CA,2009-10-15,27.0
Technology,Grades 9-12,highest poverty,GA,2013-10-15,282.69
Books,Grades 3-5,highest poverty,MO,2011-08-08,25.0
Technology,Grades PreK-2,highest poverty,IL,2013-09-04,444.06
Other,Grades PreK-2,high poverty,CA,2011-12-22,25.0
Other,Grades 3-5,highest poverty,MD,2013-12-08,25.0
Supplies,Grades PreK-2,highest poverty,CT,2009-12-28,100.0
Technology,Grades 6-8,high poverty,CT,2008-11-28,25.0
Technology,Grades 3-5,highest poverty,AR,2013-10-17,100.0
Supplies,Grades 9-12,high poverty,NY,2013-06-02,1.0
Trips,Grades 9-12,highest poverty,CT,2010-01-06,250.0
Technology,Grades 6-8,high poverty,NY,2012-10-08,25.0
Supplies,Grades 9-12,highest poverty,CA,2011-07-25,5.0
Trips,Grades 3-5,highest poverty,TX,2006-03-09,30.0
Supplies,Grades PreK-2,moderate poverty,CA,2013-01-26,25.0
Books,Grades PreK-2,highest poverty,MA,2008-02-25,235.29
Technology,Grades 3-5,highest poverty,AL,2013-07-07,11.89
Books,Grades 3-5,highest poverty,CA,2011-01-22,3.0
Technology,Grades PreK-2,highest poverty,OH,2012-02-21,100.0
Books,Grades 9-12,high poverty,AZ,2010-08-06,25.0
Supplies,Grades 6-8,high poverty,CA,2013-10-04,10.0
Other,Grades 3-5,highest poverty,NV,2010-05-29,5.0
Supplies,Grades 3-5,highest poverty,NY,2013-10-09,21.99
Technology,Grades 6-8,moderate poverty,CA,2013-10-07,100.0
Books,Grades 9-12,moderate poverty,MN,2013-01-27,50.0
Technology,Grades 3-5,low poverty,TX,2013-03-29,15.0
Other,Grades PreK-2,high poverty,IL,2011-04-17,25.0
Supplies,Grades 9-12,highest poverty,TX,2011-10-15,10.0
Supplies,Grades 3-5,highest poverty,NC,2013-09-18,2.0
Other,Grades 3-5,highest poverty,NV,2013-02-05,50.0
Supplies,Grades 3-5,moderate poverty,FL,2011-03-27,25.0
Books,Grades PreK-2,moderate poverty,MN,2013-09-15,50.0
Supplies,Grades PreK-2,moderate poverty,MI,2012-09-24,10.0
Books,Grades PreK-2,highest poverty,TX,2007-12-02,257.65
Supplies,Grades 3-5,highest poverty,PA,2013-12-02,50.0
Supplies,Grades 6-8,highest poverty,MI,2010-11-17,10.0
Books,Grades 9-12,high poverty,NC,2013-06-25,10.0
Technology,Grades 3-5,highest poverty,MA,2013-08-09,50.0
Books,Grades PreK-2,low poverty,CA,2012-10-01,25.0
Books,Grades 9-12,highest poverty,CA,2013-11-28,25.0
Supplies,Grades 6-8,high poverty,GA,2012-03-04,50.0
Technology,Grades 9-12,highest poverty,IL,2010-10-03,15.0
Supplies,Grades PreK-2,highest poverty,WI,2011-03-31,25.0
Other,Grades 3-5,highest poverty,NY,2012-01-18,5.0
Books,Grades PreK-2,highest poverty,TX,2013-02-14,57.46
Books,Grades 6-8,highest poverty,NY,2013-05-26,30.0
Supplies,Grades 3-5,highest poverty,WA,2010-12-29,15.0
Technology,Grades PreK-2,highest poverty,TX,2012-09-30,20.0
Books,Grades 3-5,highest poverty,CA,2012-08-29,10.0
Technology,Grades PreK-2,high poverty,FL,2012-12-26,50.0
Other,Grades 3-5,highest poverty,TN,2011-03-26,25.0
Technology,Grades 6-8,highest poverty,CA,2010-10-10,275.56
Supplies,Grades PreK-2,moderate poverty,TN,2011-04-03,25.0
Technology,Grades 6-8,highest poverty,MA,2010-12-11,20.0
Technology,Grades PreK-2,highest poverty,NY,2012-10-07,50.0
Other,Grades 9-12,highest poverty,WA,2013-02-25,50.0
Books,Grades 6-8,highest poverty,MD,2009-11-29,10.0
Technology,Grades PreK-2,moderate poverty,MT,2013-12-09,20.0
Technology,Grades 6-8,high poverty,CA,2011-12-23,15.0
Books,Grades PreK-2,highest poverty,IL,2013-07-04,1.0
Books,Grades PreK-2,highest poverty,TX,2013-11-24,3.0
Supplies,Grades PreK-2,highest poverty,FL,2013-09-18,25.0
Technology,Grades PreK-2,moderate poverty,IL,2011-08-15,25.0
Supplies,Grades PreK-2,highest poverty,NY,2012-10-07,15.0
Supplies,Grades 6-8,highest poverty,NY,2011-02-08,30.0
Technology,Grades 3-5,high poverty,CA,2012-01-22,15.0
Supplies,Grades 6-8,highest poverty,NM,2013-03-23,5.0
Other,Grades PreK-2,moderate poverty,UT,2010-12-13,1.0
Supplies,Grades 9-12,high poverty,CA,2012-01-20,15.0
Technology,Grades 6-8,highest poverty,IL,2011-01-27,114.04
Technology,Grades 3-5,highest poverty,NY,2012-01-30,22.26
Books,Grades 9-12,highest poverty,PA,2009-06-04,10.0
Technology,Grades 6-8,moderate poverty,VT,2008-11-28,30.0
Supplies,Grades PreK-2,highest poverty,TX,2010-07-30,15.0
Supplies,Grades 6-8,high poverty,NY,2012-01-02,5.0
Supplies,Grades 6-8,moderate poverty,WA,2011-10-06,10.0
Books,Grades 6-8,highest poverty,IL,2013-08-10,15.03
Technology,Grades PreK-2,highest poverty,CA,2012-02-04,50.0
Supplies,Grades 9-12,highest poverty,NY,2006-08-14,30.0
Other,Grades PreK-2,highest poverty,CA,2012-06-26,10.0
Supplies,Grades PreK-2,highest poverty,FL,2011-02-03,25.0
Other,Grades PreK-2,highest poverty,CA,2010-11-23,1.0
Supplies,Grades PreK-2,highest poverty,NJ,2012-12-20,18.0
Technology,Grades PreK-2,moderate poverty,FL,2011-01-22,15.0
Books,Grades PreK-2,highest poverty,NC,2009-11-24,15.0
Supplies,Grades PreK-2,highest poverty,NY,2009-07-14,272.29
Technology,Grades 3-5,high poverty,CA,2011-12-13,40.0
Technology,Grades 3-5,highest poverty,PA,2010-04-27,20.0
Technology,Grades 6-8,moderate poverty,IA,2013-12-03,5.0
Supplies,Grades PreK-2,highest poverty,DC,2006-10-17,25.0
Technology,Grades 6-8,highest poverty,TX,2013-09-08,10.0
Books,Grades PreK-2,highest poverty,MD,2012-02-11,5.0
Supplies,Grades PreK-2,highest poverty,DC,2013-01-28,25.0
Trips,Grades PreK-2,high poverty,NY,2010-10-27,24.0
Books,Grades 3-5,highest poverty,NY,2012-09-10,10.0
Technology,Grades PreK-2,highest poverty,MO,2011-08-26,25.0
Supplies,Grades PreK-2,highest poverty,TX,2013-02-17,25.0
Technology,Grades PreK-2,highest poverty,AZ,2011-01-17,10.0
Books,Grades 9-12,highest poverty,GA,2010-09-03,3.0
Books,Grades 6-8,highest poverty,MA,2011-04-16,15.0
Technology,Grades PreK-2,highest poverty,LA,2011-02-26,15.0
Books,Grades PreK-2,highest poverty,NY,2010-10-16,25.0
Supplies,Grades 6-8,highest poverty,MI,2009-03-29,55.29
Books,Grades PreK-2,high poverty,IL,2010-09-03,25.0
Supplies,Grades 6-8,high poverty,OH,2013-10-15,1.0
Books,Grades PreK-2,moderate poverty,MD,2013-02-07,100.0
Books,Grades PreK-2,high poverty,CA,2010-09-16,15.0
Books,Grades 6-8,highest poverty,NY,2010-01-31,10.0
Supplies,Grades 3-5,highest poverty,NJ,2008-04-07,50.0
Technology,Grades 6-8,low poverty,CA,2013-09-01,25.0
Books,Grades PreK-2,high poverty,WA,2011-03-12,30.0
Supplies,Grades 6-8,moderate poverty,CA,2013-08-27,20.0
Books,Grades 3-5,highest poverty,CA,2008-10-14,50.0
Supplies,Grades 3-5,high poverty,TX,2013-10-31,10.0
Technology,Grades 3-5,highest poverty,NY,2012-01-21,10.0
Technology,Grades 9-12,highest poverty,SC,2009-09-29,100.0
Technology,Grades 9-12,highest poverty,CA,2011-09-26,10.0
Technology,Grades 9-12,highest poverty,NY,2010-05-12,553.41
Books,Grades 3-5,highest poverty,CA,2008-05-20,60.0
Supplies,Grades 3-5,highest poverty,NC,2011-08-07,33.94
Technology,Grades 9-12,high poverty,KS,2011-11-08,50.0
Technology,Grades 3-5,moderate poverty,TX,2012-09-18,25.0
Supplies,Grades PreK-2,highest poverty,NY,2011-06-02,100.0
Supplies,Grades PreK-2,moderate poverty,FL,2011-04-02,15.0
Technology,Grades PreK-2,high poverty,WI,2011-04-28,15.0
Books,Grades 6-8,highest poverty,CA,2010-12-24,15.0
Books,Grades 9-12,high poverty,AL,2010-11-11,15.0
Books,Grades 9-12,highest poverty,NY,2007-12-10,20.0
Technology,Grades 9-12,low poverty,CA,2010-10-06,50.0
Other,Grades 9-12,highest poverty,IL,2010-10-30,24.0
Technology,Grades 9-12,high poverty,CA,2012-04-18,25.0
